School,Grade,Class,Number,Last name,First name,Fist name(KANA),Last name(KANA),Sex,Date of birth,Guardian,Relationship,Father name,Mother name,Sibling1 name,Sibling1 date of birth,Sibling2 name,Sibling2 date of birth,Sibling3 name,Sibling3 date of birth,Firstborn,District,Zip code,Address,Way of commuting (out bound),Bus course (out bound),Bus station (out bound),Train station (out bound),Way of commuting (in bound),Bus course (in bound),Bus station (in bound),Train station (in bound),Commuting time,Telephone(home),FAX(home),E-mail1,E-mail2,Mobile(father),Work place(father),Work phone(father),Mobile(mother),Work place(mother),Work phone(mother),EmergencyContact1,EmergencyContact2,EmergencyContact3,Lesson1,Lesson2,Lesson3,Award,Mobile flag,Mobile number,Allergy,School lunch,Milk,Entrance date,Alma mater,Remarks
中学校,1,C,12,中2013,1C12,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,13,中2013,1C13,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,14,中2013,1C14,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,15,中2013,1C15,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース１,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,16,中2013,1C16,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,17,中2013,1C17,,,男,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,18,中2013,1C18,,,女,,,父,,,,,,,,,,ちく３,,,自転車,バスコース２,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,19,中2013,1C19,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,20,中2013,1C20,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,C,21,中2013,1C21,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,D,1,中2013,1年D組1番,,,女,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,1,D,2,中2013,1年D組2番,,,男,,,父,,,,,,,,,,ちく３,,,自転車,3バスコース,,,自家用車による送迎,バスコース２,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,2,A,1,2013中,2年A組1番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,2,A,2,2013中,2年A組2番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,2,A,3,2013中,2年A組3番,,,男,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,2,A,4,2013中,2年A組4番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,2,A,5,2013中,2年A組5番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,2,B,1,2013中,2年B組1番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,2,B,2,2013中,2年B組2番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,3,A,1,2013中,3年A組1番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,3,B,1,2013中,3年B組1番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,3,B,2,2013中,3年B組2番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,3,B,3,2013中,3年B組3番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,3,C,1,2013中,3年C組1番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,3,C,2,2013中,3年C組2番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
中学校,3,C,3,2013中,3年C組3番,,,女,,,父,,,,,,,,,,地区１あｓあ,,,自転車,バスコース２,,,自家用車による送迎,3バスコース,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
